,tconst,title,release_year,adjusted_domestic_gross,director_gender,has_oscar_cast,propensity_score,adjusted_budget,star_power,num_production_countries,num_spoken_languages,num_production_companies,genre_stereotypes
230,tt8637428,the farewell,2019,21.8,1,0,0.09553923590770276,0.3,145.4,2,3,4,0
231,tt7134096,the rhythm section,2020,6.6,1,0,0.03594746001762557,60.7,90.4,3,4,7,1
232,tt7798646,the photograph,2020,25.0,1,0,0.09298970352673251,19.4,229.8,2,1,3,0
233,tt7510346,the turning,2020,18.8,1,0,0.04034481907545234,17.0,202.4,1,1,4,1
234,tt1051906,the invisible man,2020,78.9,1,0,0.04403364445378106,8.5,439.7,2,1,5,1
235,tt9214832,emma,2020,12.2,1,0,0.08578718002314203,12.1,266.7,1,1,4,0
236,tt8097030,turning red,2022,1.5,1,0,0.02569182588444793,204.1,260.9,1,5,2,1
237,tt10731256,dont worry darling,2022,48.7,1,0,0.041582894023777066,37.6,535.6,1,1,3,1
238,tt4960748,till,2022,9.7,1,1,0.08791503452962804,21.5,369.0,2,1,4,0
239,tt11198810,she said,2022,6.3,1,0,0.037488103532994366,34.4,86.6,1,1,4,1
240,tt9185206,are you there god its me margaret,2023,21.0,1,1,0.08804759284991673,31.0,358.3,1,2,2,0
241,tt13923456,mafia mamma,2023,3.6,1,0,0.036938599797958105,42.3,207.5,2,2,6,1
242,tt14209916,cocaine bear,2023,66.7,1,0,0.03974840818885195,33.5,448.8,1,1,4,1
243,tt17527468,bottoms,2023,12.4,1,0,0.08865006666661202,11.7,190.6,1,1,3,0
244,tt11304740,wish,2023,66.0,1,1,0.024457097818326796,206.4,514.2,1,1,2,1
245,tt0200469,bats,1999,19.2,0,0,0.04706934085801512,9.9,184.7,1,1,1,1
246,tt0147612,happiness,1998,5.3,0,0,0.09713014804046431,5.8,321.8,1,2,2,0
247,tt0404030,everything is illuminated,2005,2.7,0,0,0.08550959859002655,11.3,61.5,1,3,4,0
248,tt0084684,silent rage,1982,34.2,0,0,0.04413992218136988,14.7,156.2,1,1,2,1
249,tt0762105,i hate valentines day,2009,0.0,0,0,0.09565821626124067,4.4,396.5,1,3,3,0
250,tt0110167,it could happen to you,1994,80.2,0,1,0.0884728792575011,42.4,419.1,1,1,1,0
251,tt0107507,manhattan murder mystery,1993,24.7,0,1,0.0873035879507991,29.4,350.0,1,1,2,0
252,tt0087451,the ice pirates,1984,39.6,0,0,0.04302063101449485,27.2,248.4,1,1,2,1
253,tt6495770,action point,2018,6.3,0,0,0.09819985812162531,23.8,405.7,2,1,2,0
254,tt0095357,illegally yours,1988,0.7,0,0,0.08226118168181412,34.5,153.6,1,1,3,0
255,tt0113972,nick of time,1995,16.7,0,1,0.03901561175351813,68.1,358.3,1,1,1,1
256,tt1381404,the company you keep,2012,7.0,0,1,0.04350001853069116,2.7,427.9,2,1,5,1
257,tt0251114,harts war,2002,33.3,0,0,0.02968286433771124,122.3,322.2,1,2,4,1
258,tt1091751,the longshots,2008,16.8,0,0,0.0924452725961267,33.6,349.3,1,1,1,0
259,tt0114666,the tie that binds,1995,11.9,0,0,0.04103710068792768,28.9,268.3,1,1,3,1
260,tt0100395,postcards from the edge,1990,91.3,0,1,0.08451169349928049,52.9,324.0,1,1,1,0
261,tt0265632,recess schools out,2001,65.1,0,0,0.045550924664898476,17.8,426.8,1,1,2,1
262,tt2203939,the other woman,2014,111.5,0,0,0.08078340336895673,53.1,417.3,1,1,3,0
263,tt0811138,the love guru,2008,47.1,0,0,0.06961008196898578,90.5,460.2,3,1,7,0
264,tt0114887,a walk in the clouds,1995,103.2,0,1,0.08156281554233545,41.3,133.0,1,1,2,0
265,tt0087722,mikes murder,1984,3.3,0,0,0.04299209480119182,19.1,368.2,1,1,3,1
266,tt2465146,and so it goes,2014,20.1,0,1,0.08421111064610655,23.9,281.5,1,1,3,0
267,tt0379725,capote,2005,46.3,0,0,0.09089385246558365,11.3,196.9,2,1,4,0
268,tt6423362,the sun is also a star,2019,6.1,0,0,0.09625372507725832,11.1,159.8,1,1,1,0
269,tt0424993,employee of the month,2006,44.4,0,0,0.09375187669125781,18.7,428.7,1,1,2,0
270,tt1470827,monsters,2010,0.3,0,0,0.0460316751121825,0.7,56.5,1,2,2,1
271,tt9664108,voyagers,2021,3.7,0,0,0.05308923830993568,23.2,197.1,4,1,2,1
272,tt0118771,breakdown,1997,98.3,0,0,0.07597194192001071,70.5,362.7,1,1,3,0
273,tt0280760,igby goes down,2002,8.3,0,1,0.09522217011874924,15.7,369.7,1,1,1,0
274,tt0084938,young doctors in love,1982,100.0,0,0,0.09098503733182682,24.4,257.7,1,2,2,0
275,tt1950135,drunk wedding,2015,0.0,0,0,0.09875029387956398,0.8,39.7,1,2,1,0
276,tt0116404,get on the bus,1996,11.4,0,0,0.044922924793294336,4.8,274.8,1,2,3,1
277,tt13453006,red rocket,2021,1.2,0,0,0.09326786649558508,1.3,30.8,1,1,2,0
278,tt2402927,carol,2015,16.9,0,1,0.09307506701723137,15.7,347.8,2,1,3,0
279,tt3460252,the hateful eight,2015,71.8,0,0,0.08017377447104959,58.4,392.9,1,2,3,0
280,tt4103724,forever my girl,2018,20.5,0,0,0.09974895589874848,4.4,267.7,1,1,1,0
281,tt0097239,driving miss daisy,1989,270.3,0,0,0.093703048186531,19.0,640.9,1,2,3,0
282,tt1091722,adventureland,2009,23.5,0,0,0.09540837416130037,14.4,460.2,1,1,2,0
283,tt2084970,the imitation game,2014,121.0,0,0,0.04498822792267264,18.6,497.6,2,1,4,1
284,tt0076342,macarthur,1977,84.7,0,1,0.03995437192095651,46.7,67.7,1,1,1,1
285,tt0485985,red tails,2012,68.3,0,1,0.03504694466646893,79.4,315.8,1,3,3,1
286,tt1341167,four lions,2010,0.4,0,0,0.09606533881453766,1.4,123.1,2,4,4,0
