franchise,franchise_transform,franchise_url
Mortal Kombat,Mortal-Kombat,https://www.the-numbers.com/movies/franchise/Mortal-Kombat#tab=summary
Paul Blart Mall Cop,Paul-Blart-Mall-Cop,https://www.the-numbers.com/movies/franchise/Paul-Blart-Mall-Cop#tab=summary
Trolls,Trolls,https://www.the-numbers.com/movies/franchise/Trolls#tab=summary
Space Jam,Space-Jam,https://www.the-numbers.com/movies/franchise/Space-Jam#tab=summary
Journey to the Center of the Earth,Journey-to-the-Center-of-the-Earth,https://www.the-numbers.com/movies/franchise/Journey-to-the-Center-of-the-Earth#tab=summary
Zorro,Zorro,https://www.the-numbers.com/movies/franchise/Zorro#tab=summary
Has Fallen,Has-Fallen,https://www.the-numbers.com/movies/franchise/Has-Fallen#tab=summary
Ride Along,Ride-Along,https://www.the-numbers.com/movies/franchise/Ride-Along#tab=summary
Miss Congeniality,Miss-Congeniality,https://www.the-numbers.com/movies/franchise/Miss-Congeniality#tab=summary
Simpsons The,Simpsons-The,https://www.the-numbers.com/movies/franchise/Simpsons-The#tab=summary
Analyze This,Analyze-This,https://www.the-numbers.com/movies/franchise/Analyze-This#tab=summary
Beethoven,Beethoven,https://www.the-numbers.com/movies/franchise/Beethoven#tab=summary
Free Willy,Free-Willy,https://www.the-numbers.com/movies/franchise/Free-Willy#tab=summary
Cocoon,Cocoon,https://www.the-numbers.com/movies/franchise/Cocoon#tab=summary
Grudge,Grudge,https://www.the-numbers.com/movies/franchise/Grudge#tab=summary
True Grit,True-Grit,https://www.the-numbers.com/movies/franchise/True-Grit#tab=summary
Mulan,Mulan,https://www.the-numbers.com/movies/franchise/Mulan#tab=summary
Hot Shots,Hot-Shots,https://www.the-numbers.com/movies/franchise/Hot-Shots#tab=summary
Get Shorty,Get-Shorty,https://www.the-numbers.com/movies/franchise/Get-Shorty#tab=summary
Boss Baby The,Boss-Baby-The,https://www.the-numbers.com/movies/franchise/Boss-Baby-The#tab=summary
