imdb_id,title,release_year,budget,production_companies,production_countries,spoken_languages
tt2582802,Whiplash,2014,3300000,"Bold Films, Blumhouse Productions, Right of Way Films, Sierra/Affinity, Stage 6 Films, Sony Pictures Classics",United States of America,English
tt0407887,The Departed,2006,90000000,"Vertigo Entertainment, Media Asia Films, Initial Entertainment Group, Warner Bros. Pictures, Plan B Entertainment","Hong Kong, United States of America","English, Cantonese"
tt2278388,The Grand Budapest Hotel,2014,30000000,"Fox Searchlight Pictures, Scott Rudin Productions, Studio Babelsberg, Indian Paintbrush, TSG Entertainment, American Empirical Pictures","Germany, United States of America","English, French"
tt0435761,Toy Story 3,2010,200000000,"Pixar, Walt Disney Pictures",United States of America,"English, Spanish"
tt0209144,Memento,2000,9000000,"Summit Entertainment, Newmarket Capital Group, Team Todd, I Remember Productions",United States of America,English
tt0338013,Eternal Sunshine of the Spotless Mind,2004,20000000,"Focus Features, Anonymous Content, This Is That Productions",United States of America,English
tt0110413,Léon: The Professional,1994,16000000,"Gaumont, Les Films du Dauphin","United States of America, France","English, French, Italian"
tt0947798,Black Swan,2010,13000000,"Fox Searchlight Pictures, Cross Creek Pictures, Protozoa Pictures, Phoenix Pictures",United States of America,"English, French, Italian"
tt0434409,V for Vendetta,2006,54000000,"Studio Babelsberg, Virtual Studios, Anarchos Productions, Silver Pictures, Fünfte Babelsberg Film, Warner Bros. Pictures, DC Comics, Medienboard Berlin-Brandenburg","Germany, United Kingdom, United States of America",English
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,115000000,Lucasfilm Ltd.,United States of America,English
tt1798709,Her,2013,23000000,"Annapurna Pictures, Warner Bros. Pictures, Stage 6 Films",United States of America,English
tt0449088,Pirates of the Caribbean: At World's End,2007,300000000,"Jerry Bruckheimer Films, Second Mate Productions, Walt Disney Pictures",United States of America,English
tt2310332,The Hobbit: The Battle of the Five Armies,2014,250000000,"Warner Bros. Pictures, WingNut Films, New Line Cinema, 3Foot7, Metro-Goldwyn-Mayer","New Zealand, United States of America",English
tt0105236,Reservoir Dogs,1992,1200000,"Live Entertainment, Dog Eat Dog Productions",United States of America,English
tt3460252,The Hateful Eight,2015,44000000,"The Weinstein Company, Double Feature Films, FilmColony",United States of America,"Spanish, English"
tt0078748,Alien,1979,11000000,"Brandywine Productions, 20th Century Fox","United States of America, United Kingdom","English, Spanish"
tt0988045,Sherlock Holmes,2009,90000000,"Warner Bros. Pictures, Village Roadshow Pictures, Silver Pictures, Wigram Productions, Internationale Filmproduktion Blackbird Dritte","Australia, Germany, United Kingdom, United States of America","English, French"
tt1014759,Alice in Wonderland,2010,200000000,"Walt Disney Pictures, Roth Films, Team Todd, Tim Burton Productions, The Zanuck Company",United States of America,English
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,379000000,"Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company","United Kingdom, United States of America","English, Spanish"
tt0413300,Spider-Man 3,2007,258000000,"Laura Ziskin Productions, Marvel Studios, Columbia Pictures",United States of America,"English, French"
tt6644200,A Quiet Place,2018,17000000,"Paramount, Platinum Dunes",United States of America,English
tt1477834,Aquaman,2018,160000000,"Warner Bros. Pictures, The Safran Company, DC Films",United States of America,English
tt0378194,Kill Bill: Vol. 2,2004,30000000,"Super Cool ManChu, Miramax, A Band Apart",United States of America,"English, Mandarin, Spanish, Cantonese"
tt0317219,Cars,2006,120000000,"Pixar, Walt Disney Pictures",United States of America,"English, Italian, Japanese, Yiddish"
tt0120363,Toy Story 2,1999,90000000,Pixar,United States of America,English
tt0119654,Men in Black,1997,90000000,"Columbia Pictures, Amblin Entertainment, Parkes+MacDonald Image Nation",United States of America,"English, Spanish"
tt1631867,Edge of Tomorrow,2014,178000000,"RatPac Entertainment, Village Roadshow Pictures, VIZ Media, 3 Arts Entertainment, Warner Bros. Pictures",United States of America,English
tt0416449,300,2007,65000000,"Virtual Studios, Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Nimar Studios, Warner Bros. Pictures, Cruel & Unusual Films","Bulgaria, Canada, United States of America",English
tt2283362,Jumanji: Welcome to the Jungle,2017,90000000,"Radar Pictures, Matt Tolmach Productions, Seven Bucks Productions, Columbia Pictures",United States of America,English
tt0083658,Blade Runner,1982,28000000,"Shaw Brothers, The Ladd Company, Warner Bros. Pictures","United States of America, Hong Kong, United Kingdom","English, German, Cantonese, Japanese, Hungarian"
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,113000000,Lucasfilm Ltd.,United States of America,English
tt2119532,Hacksaw Ridge,2016,40000000,"Vendian Entertainment, Summit Entertainment, Cross Creek Pictures, IM Global, Screen Australia, Screen NSW, Permut Presentations, Pandemonium, Demarest Films, Lionsgate, Bliss Media, Kylin Pictures, AI Film","Australia, China, United Kingdom, United States of America","Japanese, English"
tt1099212,Twilight,2008,37000000,"Summit Entertainment, Temple Hill Entertainment, Maverick Films, Imprint Entertainment, Goldcrest, Twilight Productions",United States of America,English
tt1217209,Brave,2012,185000000,"Walt Disney Pictures, Pixar",United States of America,English
tt5095030,Ant-Man and the Wasp,2018,140000000,Marvel Studios,United States of America,English
tt1587310,Maleficent,2014,180000000,"Walt Disney Pictures, Roth Films",United States of America,English
