title,director,cast
"Quo Vadis, Aida?",Jasmila Zbanic,"['Jasna Đuričić', 'Izudin Bajrovic', 'Boris Ler', 'Dino Bajrovic']"
The Stylist,Jill Gevargizian,"['Brea Grant', 'Najarra Townsend', 'Millie Milan', 'Sarah McGuire']"
Slalom,Charlène Favier,"['Noée Abita', 'Jérémie Renier', 'Marie Denarnaud', 'Muriel Combeau']"
Nomadland,Chloé Zhao,"['Frances McDormand', 'David Strathairn', 'Linda May', 'Swankie']"
Promising Young Woman,Emerald Fennell,"['Carey Mulligan', 'Laverne Cox', 'Bo Burnham', 'Clancy Brown']"
Stray,Elizabeth Lo,[]
Gagarine,Fanny Liatard,"['Alséni Bathily', 'Lyna Khoudri', 'Jamil McCraven', 'Finnegan Oldfield']"
Tove,Zaida Bergroth,"['Alma Pöysti', 'Krista Kosonen', 'Shanti Roney', 'Joanna Haartti']"
Sword of Trust,Lynn Shelton,"['Marc Maron', 'Jon Bass', 'Michaela Watkins', 'Jillian Bell']"
Sword of Trust,Lynn Shelton,"['Marc Maron', 'Jon Bass', 'Michaela Watkins', 'Jillian Bell']"
Honey Boy,Alma Har'el,"['Shia LaBeouf', 'Lucas Hedges', 'Noah Jupe', 'Byron Bowers']"
Raise Hell: The Life & Times of Molly Ivins,Janice Engel,"['Rachel Maddow', 'Dan Rather', 'Anne Lamott', 'Cecile Richards']"
The Mustang,Laure de Clermont-Tonnerre,"['Matthias Schoenaerts', 'Gideon Adlon', 'Bruce Dern', 'Connie Britton']"
A Beautiful Day in the Neighborhood,Marielle Heller,"['Tom Hanks', 'Matthew Rhys', 'Susan Kelechi Watson', 'Chris Cooper']"
Little Women,Greta Gerwig,"['Saoirse Ronan', 'Emma Watson', 'Florence Pugh', 'Eliza Scanlen']"
Hail Satan?,Penny Lane,"['Lucien Greaves', 'Jex Blackmore', 'Chalice Blythe', 'Nicholas Crowe']"
American Factory,Steven Bognar,['Sherrod Brown']
Booksmart,Olivia Wilde,"['Kaitlyn Dever', 'Beanie Feldstein', 'Jessica Williams', 'Jason Sudeikis']"
Making Waves: The Art of Cinematic Sound,Midge Costin,"['Erik Aadahl', 'Ioan Allen', 'Richard L. Anderson', 'Richard Beggs']"
The Kingmaker,Lauren Greenfield,"['Imelda Marcos', 'Tony Parkinson', 'Ferdinand Romualdez Marcos Jr.', 'Imee Marcos']"
The Farewell,Lulu Wang,"['Awkwafina', 'Tzi Ma', 'Diana Lin', 'Gil Perez-Abraham']"
One Child Nation,Nanfu Wang,[]
For Sama,Edward Watts,"['Waad Al-Kateab', 'Sama Al-Kateab', 'Hamza Al-Kateab']"
Atlantics,Mati Diop,"['Mama Sané', 'Amadou Mbow', 'Ibrahima Traoré', 'Amina Kane']"
Varda by Agnès,Agnès Varda,['Agnès Varda']
Mickey and the Bear,Annabelle Attanasio,"['Camila Morrone', 'James Badge Dale', 'Calvin Demba', 'Ben Rosenfield']"
Honeyland,Ljubo Stefanov,[]
Portrait of a Lady on Fire,Céline Sciamma,"['Noémie Merlant', 'Adèle Haenel', 'Luàna Bajrami', 'Valeria Golino']"
The Assistant,Kitty Green,"['Julia Garner', 'Matthew Macfadyen', 'Makenzie Leigh', 'Juliana Canfield']"
Hope,Maria Sødahl,"['Stellan Skarsgård', 'Andrea Bræin Hovig', 'Elli Rhiannon Müller Osborne', 'Johannes Joner']"
Saint Maud,Rose Glass,"['Morfydd Clark', 'Jennifer Ehle', 'Lily Frazer', 'Lily Knight']"
First Cow,Kelly Reichardt,"['John Magaro', 'Orion Lee', 'Alia Shawkat', 'Toby Jones']"
Blow the Man Down,Bridget Savage Cole,"['Morgan Saylor', 'Sophie Lowe', 'Margo Martindale', 'Will Brittain']"
The Long Walk,Mattie Do,"['Yannawoutthi Chanthalungsy', 'Vilouna Phetmany', 'Por Silatsa', 'Noutnapha Soydara']"
Science Fair,Cristina Costantini,"['Jack Andraka', 'Anjali Chadha', 'Ryan Folz', 'Harsha Paladugu']"
Free Solo,Elizabeth Chai Vasarhelyi,"['Alex Honnold', 'Tommy Caldwell', 'Sanni McCandless', 'Jimmy Chin']"
On Her Shoulders,Alexandria Bombach,"['Nadia Murad', 'Amal Clooney']"
Rafiki,Wanuri Kahiu,"['Samantha Mugatsia', 'Sheila Munyiva', 'Jimmi Gathu', 'Nini Wacera']"
To All the Boys I've Loved Before,Susan Johnson,"['Lana Condor', 'John Corbett', 'Noah Centineo', 'Emilija Baranac']"
Dark Money,Kimberly Reed,[]
Kusama: Infinity,Heather Lenz,['Yayoi Kusama']
Little Woods,Nia DaCosta,"['Tessa Thompson', 'Lily James', 'Luke Kirby', 'James Badge Dale']"
Private Life,Tamara Jenkins,"['Paul Giamatti', 'Kathryn Hahn', 'Kayli Carter', 'Molly Shannon']"
Be Natural: The Untold Story of Alice Guy-Blaché,Pamela B. Green,['Jodie Foster']
Birds of Passage,Cristina Gallego,"['Carmina Martínez', 'Natalia Reyes', 'José Acosta', 'Jhon Narváez']"
RBG,Betsy West,"['Ruth Bader Ginsburg', 'Gloria Steinem', 'Nina Totenberg', 'Brenda Feigen']"
Pick of the Litter,Dana Nachman,[]
The Chambermaid,Lila Avilés,"['Gabriela Cartol', 'Teresa Sánchez', 'Agustina Quinci', 'Alan Uribe']"
Can You Ever Forgive Me?,Marielle Heller,"['Melissa McCarthy', 'Richard E. Grant', 'Dolly Wells', 'Ben Falcone']"
Too Late to Die Young,Dominga Sotomayor,"['Demian Hernández', 'Antar Machado', 'Magdalena Tótoro', 'Matías Oviedo']"
Leave No Trace,Debra Granik,"['Ben Foster', 'Thomasin McKenzie', 'Jeff Kober', 'Dale Dickey']"
