rank,year,title,domestic_gross
522,2018,Green Book,"$85,080,171"
523,2010,The Last Airbender,"$131,772,187"
524,1992,Lethal Weapon 3,"$144,731,527"
525,2012,Journey 2: The Mysterious Island,"$103,860,290"
526,2001,A Beautiful Mind,"$170,708,996"
527,2009,Inglourious Basterds,"$120,774,594"
528,2013,The Conjuring,"$137,400,141"
529,1984,Beverly Hills Cop,"$234,760,478"
530,2009,Disney’s A Christmas Carol,"$137,855,863"
531,2022,Suzume (すずめの戸締まり),"$10,932,037"
532,1997,Air Force One,"$172,956,409"
533,2009,The Proposal,"$163,958,031"
534,1997,As Good as it Gets,"$148,478,011"
535,2016,Resident Evil: The Final Chapter,"$26,844,692"
536,2012,Battleship,"$65,233,400"
537,2019,Knives Out,"$165,364,060"
538,1999,Austin Powers: The Spy Who Shagged Me,"$206,040,085"
539,2004,The Polar Express,"$188,042,855"
540,2012,The Expendables 2,"$85,028,192"
541,2007,Ocean's Thirteen,"$117,144,465"
542,2015,The SpongeBob Movie: Sponge Out of Water,"$162,994,032"
543,2004,The Bourne Supremacy,"$176,087,450"
544,2017,Wonder,"$132,422,809"
545,2010,Little Fockers,"$148,438,600"
546,2015,Maze Runner: The Scorch Trials,"$81,697,192"
547,2016,The Conjuring 2: The Enfield Poltergeist,"$102,470,008"
548,1999,Runaway Bride,"$152,257,509"
549,2017,The Lego Batman Movie,"$175,750,384"
550,2005,Chicken Little,"$135,386,665"
551,1996,Ransom,"$136,492,681"
552,2017,Qian Ren 3: Yan Zhi Da Zuo Zhan,"$837,791"
553,2017,Ferdinand,"$84,410,380"
554,2006,The Pursuit of Happyness,"$162,586,036"
555,2014,The Fault in Our Stars,"$124,872,350"
556,2012,Rise of the Guardians,"$103,412,758"
557,2002,Chicago,"$170,687,518"
558,2009,The Blind Side,"$255,959,475"
559,2017,Annabelle: Creation,"$102,092,201"
560,2012,Wrath of the Titans,"$83,670,083"
561,2016,Dangal,"$12,391,761"
562,2018,Skyscraper,"$68,420,120"
563,2023,Bā Jiǎo Lóng Zhōng (八角笼中),
564,2013,A Good Day to Die Hard,"$67,349,198"
565,1995,101 Dalmatians,"$136,189,294"
566,1998,Mulan,"$120,620,254"
567,1997,Liar Liar,"$181,410,615"
568,2019,Crazy Alien (疯狂的外星人),
569,2020,Sonic The Hedgehog,"$146,066,470"
570,2009,G.I. Joe: The Rise of Cobra,"$150,201,498"
571,2016,Passengers,"$100,014,699"
572,1991,Hook,"$119,654,823"
