tconst,title,release_year,genres,adjusted_budget,adjusted_domestic_gross,director_ids,director_names,production_companies,production_countries,spoken_languages
tt0170691,tigerland,2000,"Drama,War",18257839.721254356,254696.86411149823,nm0001708,joel schumacher,"KirchMedia, Haft Entertainment, New Regency Pictures, 20th Century Fox","Germany, United States of America",English
tt0081534,somewhere in time,1980,"Drama,Fantasy,Romance",19459223.30097087,37047297.291262135,nm0844358,jeannot szwarc,"Universal Pictures, Rastar Productions",United States of America,English
tt1866249,the sessions,2012,"Biography,Comedy,Drama",1369337.9790940764,8219384.121951219,nm0506802,ben lewin,"Such Much Films, Rhino Films",United States of America,English
tt0999913,straw dogs,2011,"Action,Drama,Thriller",34948866.16273899,14433100.268563803,nm0527109,rod lurie,"Screen Gems, Battleplan Productions",United States of America,English
tt0242998,valentine,2001,"Horror,Mystery,Thriller",17752682.100508187,36187308.63015246,nm0087595,jamie blanks,"NPV Entertainment, Village Roadshow Pictures, Warner Bros. Pictures",United States of America,English
tt0119664,metro,1997,"Action,Comedy,Crime",107738317.75700934,62719166.28037383,nm0141961,thomas carter,"Caravan Pictures, Touchstone Pictures",United States of America,English
tt0089941,runaway train,1985,"Action,Adventure,Drama",26297397.76951673,23188496.02973977,nm0464846,andrey konchalovskiy,"Golan-Globus Productions, Northbrook Films, Cannon Group",United States of America,English
tt4587656,the star,2017,"Adventure,Animation,Comedy",12827417.380660955,52397428.10281518,nm3302450,timothy reckart,"Franklin Entertainment, Sony Pictures Animation, Columbia Pictures, The Jim Henson Company, Walden Media, Affirm Films",United States of America,English
tt0068638,the getaway,1972,"Action,Crime,Thriller",25214082.71770335,276300579.27272725,nm0001603,sam peckinpah,"Foster-Brower Productions, First Artists, Solar Productions",United States of America,"English, Spanish"
tt0399327,the man,2005,"Action,Comedy,Crime",53124423.96313363,13411051.551459292,nm0562645,les mayfield,New Line Cinema,United States of America,English
tt0093818,radio days,1987,Comedy,44281690.140845075,40940578.5,nm0000095,woody allen,Orion Pictures,United States of America,English
tt0292644,the rules of attraction,2002,"Comedy,Drama,Romance",6990550.305725402,11404666.886047805,nm0000812,roger avary,"Kingsgate Films, Roger Avary Filmproduktion GmbH, Lionsgate","Germany, United States of America","English, German"
tt5989218,life itself,2018,"Drama,Romance",12520908.004778972,5127851.479091995,nm1557594,dan fogelman,"FilmNation Entertainment, Nostromo Pictures, Temple Hill Entertainment, 17-28 Black Production","Spain, United States of America","English, Spanish"
tt2304771,mandela long walk to freedom,2013,"Biography,Drama,History",47227467.81115879,11230806.540772531,nm0149491,justin chadwick,"Videovision Entertainment, Pathe, Film Afrika, Distant Horizon, National Empowerment Fund","United Kingdom, South Africa","English, Afrikaans, Xhosa"
tt0384286,cry wolf,2005,"Drama,Horror,Mystery",1609831.0291858676,16175057.376344085,nm0905592,jeff wadlow,Universal Pictures,United States of America,English
tt0094142,throw momma from the train,1987,"Comedy,Crime,Thriller",38746478.873239435,147736991.7464789,nm0000362,danny devito,Orion Pictures,United States of America,English
tt0240510,the four feathers,2002,"Action,Adventure,Drama",61167315.17509727,31992543.58198999,nm0001408,shekhar kapur,"Paramount, Miramax, Jaffilms Inc., Belhaven Limited, Dune Films, Marty Katz Productions","Morocco, United States of America, United Kingdom",English
